date,meantempm,meandewptm,meanpressurem,maxhumidity,minhumidity,maxtempm,mintempm,maxdewptm,mindewptm,maxpressurem,minpressurem,precipm,sealevelpressure,windspeed
1/1/2015,25,24,1008.88,100,65,29,21,25,22,1012,1007,0.4,29.67,21.4
1/2/2015,26,24,1011.18,100,66,30,22,26,22,1014,1009,0,29.73,9.7
1/3/2015,26,24,1012.48,100,60,30,23,25,23,1015,1010,0,29.71,17.5
1/4/2015,26,23,1012.57,100,58,30,22,25,22,1016,1010,0,29.71,5.8
1/5/2015,26,23,1012.3,100,49,30,22,25,20,1015,1010,0,29.7,13.6
1/6/2015,26,23,1012.6,100,50,30,21,25,21,1016,1011,0,29.72,11.7
1/7/2015,26,23,1012.38,100,55,30,21,24,22,1016,1010,0,29.66,11.7
1/8/2015,25,22,1012.78,100,56,29,21,24,21,1016,1011,0,29.7,13.6
1/9/2015,26,22,1014.12,100,55,29,22,23,18,1017,1012,0,29.72,11.7
1/10/2015,23,18,1014.63,94,40,29,17,22,14,1018,1012,0,29.66,9.7
1/11/2015,24,18,1014.66,88,33,29,19,20,15,1018,1013,0,29.74,15.6
1/12/2015,24,18,1013.96,94,34,28,19,19,15,1017,1012,0,29.76,3.9
1/13/2015,24,18,1013.14,94,41,29,18,20,16,1017,1011,0,29.59,3.9
1/14/2015,23,18,1012.96,94,43,28,18,20,16,1016,1011,0,29.64,19.4
1/15/2015,24,19,1012.9,94,43,29,18,22,18,1016,1011,0,29.66,9.7
1/16/2015,25,21,1013.33,100,48,29,21,23,19,1016,1011,0,29.58,11.7
1/17/2015,24,19,1013.94,94,41,29,20,22,16,1017,1012,0,29.63,5.8
1/18/2015,24,19,1014.37,100,45,28,20,21,17,1017,1012,0,29.64,9.7
1/19/2015,24,18,1014.32,94,39,29,19,19,17,1017,1012,0,29.57,5.8
1/20/2015,24,18,1015.73,94,41,29,19,20,17,1018,1014,0,29.54,19.4
1/21/2015,24,18,1017.17,88,29,29,19,20,14,1020,1015,0,29.57,11.7
1/22/2015,24,20,1016.81,88,58,28,20,22,18,1019,1014,0.5,29.64,17.5
1/23/2015,26,22,1014.4,100,52,29,22,23,20,1017,1012,0,29.65,17.5
1/24/2015,25,22,1014.5,94,62,29,21,24,19,1017,1012,3,29.59,7.8
1/25/2015,24,20,1015.87,100,46,28,19,21,18,1019,1014,0,29.57,17.5
1/26/2015,24,20,1015.02,94,42,29,20,21,18,1018,1013,0,29.62,23.3
1/27/2015,24,21,1013.59,94,53,28,21,22,19,1017,1011,0,29.64,23.3
1/28/2015,24,20,1012.24,94,48,29,20,23,19,1015,1010,3,29.59,3.9
1/29/2015,26,21,1012.76,94,47,30,22,23,19,1016,1010,0,29.59,21.4
1/30/2015,26,21,1014.53,94,48,29,22,23,19,1017,1013,0,29.64,25.3
1/31/2015,24,20,1014.88,100,43,29,20,22,19,1017,1013,0,29.64,25.3
